#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,@,@,@,@,@,@,@,@,#,@,@,@,@,@,@,@,@,#
#,@,#,#,@,#,#,#,@,#,@,#,#,#,@,#,#,@,#
#,@,#,#,@,#,#,#,@,#,@,#,#,#,@,#,#,@,#
#,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,#
#,@,#,#,@,#,@,#,#,#,#,#,@,#,@,#,#,@,#
#,@,@,@,@,#,@,@,@,#,@,@,@,#,@,@,@,@,#
#,#,#,#,@,#,#,#,@,#,@,#,#,#,@,#,#,#,#
#,#,#,#,@,#,@,@,@,@,@,@,@,#,@,#,#,#,#
#,#,#,#,@,#,@,#,#,#,#,#,@,#,@,#,#,#,#
-,-,-,-,@,@,@,#,-,G,-,#,@,@,@,-,-,-,-
#,#,#,#,@,#,@,#,#,#,#,#,@,#,@,#,#,#,#
#,#,#,#,@,#,@,@,@,$,@,@,@,#,@,#,#,#,#
#,#,#,#,@,#,@,#,#,#,#,#,@,#,@,#,#,#,#
#,@,@,@,@,@,@,@,@,#,@,@,@,@,@,@,@,@,#
#,@,#,#,@,#,#,#,@,#,@,#,#,#,@,#,#,@,#
#,@,@,#,@,@,@,@,@,@,@,@,@,@,@,#,@,@,#
#,#,@,#,@,#,@,#,#,#,#,#,@,#,@,#,@,#,#
#,@,@,@,@,#,@,@,@,#,@,@,@,#,@,@,@,@,#
#,@,#,#,#,#,#,#,@,#,@,#,#,#,#,#,#,@,#
#,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
